"subject","condition","term","mode","question","q","response","correct","rt_s","num_o","score_TRI","score_ORTH","score_SATISFICE","score_TV_max","score_TV_start","score_TV_end","score_TV_duration","score_REF","score_BOTH","score_ABS","score_niceABS","score_TVERSKY","tv_type","top_score","top_type","range","interpretation","score_SCALED"
"JDHT2","111","winter22","asynch","Which shift(s) begin when C ends?",3,"A",FALSE,8.077,1,-0.0833333333333333,-0.1,NA,0.166666666666667,-0.0833333333333333,-0.0833333333333333,0.333333333333333,0,-0.0769230769230769,0,0,0.333333333333333,"score_TV_duration",0.333333333333333,"score_TVERSKY",0.433333333333333,"?",0
"JDHT2","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"DE",FALSE,38.709,2,-0.142857142857143,-0.166666666666667,NA,-0.153846153846154,-0.142857142857143,-0.142857142857143,NA,0,-0.153846153846154,0,0,-0.142857142857143,"score_TV_start",-0.142857142857143,"score_TRI",0.0238095238095238,"?",0
"JDHT2","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"O",TRUE,17.624,1,1,-0.0769230769230769,NA,-0.142857142857143,-0.0769230769230769,-0.0833333333333333,NA,0,0.5,1,1,-0.0769230769230769,"score_TV_start",1,"score_TRI",1.07692307692308,"?",0
"WBJ2T","121","winter22","asynch","Which shift(s) start at 11 am?",1,"F",TRUE,5.266,1,1,NA,-0.0833333333333333,0.5,1,-0.0714285714285714,NA,NA,1,1,1,1,"score_TV_start",1,"score_TRI",1.08333333333333,"both tri + orth",0
"WBJ2T","121","winter22","asynch","Which shift(s) start at the same time as D?",2,"",FALSE,10.249,0,0,NA,0,0,0,0,0,0,0,0,0,0,"score_TV_max",0,"score_TRI",0,"blank",0
"WBJ2T","121","winter22","asynch","Which shift(s) begin when C ends?",3,"AH",FALSE,22.932,2,-0.153846153846154,NA,0.242424242424242,-0.166666666666667,-0.153846153846154,NA,-0.153846153846154,0,-0.142857142857143,0,0,-0.153846153846154,"score_TV_start",0.242424242424242,"score_SATISFICE",0.396270396270396,"?",0
"WBJ2T","121","winter22","asynch","Which shift(s) end at 4 pm?",4,"D",FALSE,16.376,1,-0.0714285714285714,NA,-0.0769230769230769,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,NA,-0.0714285714285714,0,0,-0.0714285714285714,"score_TV_start",-0.0714285714285714,"score_TRI",0.0054945054945055,"?",0
"WBJ2T","121","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"A",TRUE,63.041,1,1,NA,-0.0769230769230769,-0.0833333333333333,-0.0833333333333333,NA,NA,0,1,1,1,-0.0833333333333333,"score_TV_max",1,"score_TRI",1.08333333333333,"both tri + orth",0
"ZMRMB","121","winter22","asynch","Which shift(s) start at 11 am?",1,"O",FALSE,49.501,1,-0.0714285714285714,NA,0.333333333333333,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,NA,-0.0714285714285714,0,0,-0.0714285714285714,"score_TV_start",0.333333333333333,"score_SATISFICE",0.404761904761905,"?",0
"ZMRMB","121","winter22","asynch","Which shift(s) start at the same time as D?",2,"G",FALSE,16.053,1,-0.0833333333333333,NA,1,-0.1,-0.0833333333333333,-0.0769230769230769,-0.0769230769230769,0,-0.0714285714285714,0,0,-0.0769230769230769,"score_TV_end",1,"score_SATISFICE",1.08333333333333,"?",0
"ZMRMB","121","winter22","asynch","Which shift(s) begin when C ends?",3,"B",FALSE,79.336,1,-0.0769230769230769,NA,-0.0909090909090909,0.5,-0.0769230769230769,NA,1,0,-0.0714285714285714,0,0,1,"score_TV_duration",1,"score_TVERSKY",1.09090909090909,"?",0
"ZMRMB","121","winter22","asynch","Which shift(s) end at 4 pm?",4,"G",FALSE,31.045,1,-0.0714285714285714,NA,-0.0769230769230769,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,NA,-0.0714285714285714,0,0,-0.0714285714285714,"score_TV_start",-0.0714285714285714,"score_TRI",0.0054945054945055,"?",0
"ZMRMB","121","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"A",TRUE,19.523,1,1,NA,-0.0769230769230769,-0.0833333333333333,-0.0833333333333333,NA,NA,0,1,1,1,-0.0833333333333333,"score_TV_max",1,"score_TRI",1.08333333333333,"both tri + orth",0
"91D56","111","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,51.425,1,-0.0769230769230769,1,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,NA,0.5,0,0,-0.0714285714285714,"score_TV_end",1,"score_ORTH",1.07692307692308,"Orthogonal",-1
"91D56","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,14.227,1,-0.0833333333333333,1,NA,-0.111111111111111,-0.0909090909090909,-0.0769230769230769,-0.0769230769230769,0,0.5,0,0,-0.0769230769230769,"score_TV_end",1,"score_ORTH",1.08333333333333,"?",0
"91D56","111","winter22","asynch","Which shift(s) begin when C ends?",3,"Z",FALSE,14.788,1,0,1,NA,-0.125,-0.0833333333333333,0,-0.0909090909090909,0,0.5,0,0,0,"score_TV_end",1,"score_ORTH",1,"?",0
"91D56","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"FU",FALSE,50.671,2,-0.142857142857143,1,NA,-0.153846153846154,-0.142857142857143,-0.142857142857143,NA,0,0.423076923076923,0,0,-0.142857142857143,"score_TV_start",1,"score_ORTH",1.14285714285714,"?",0
"91D56","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"",FALSE,5.2,0,0,0,NA,0,0,0,NA,0,0,0,0,0,"score_TV_max",0,"score_TRI",0,"blank",0
"EH3ED","121","winter22","asynch","Which shift(s) start at 11 am?",1,"O",FALSE,32.054,1,-0.0714285714285714,NA,0.333333333333333,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,NA,-0.0714285714285714,0,0,-0.0714285714285714,"score_TV_start",0.333333333333333,"score_SATISFICE",0.404761904761905,"?",0
"EH3ED","121","winter22","asynch","Which shift(s) start at the same time as D?",2,"G",FALSE,57.984,1,-0.0833333333333333,NA,1,-0.1,-0.0833333333333333,-0.0769230769230769,-0.0769230769230769,0,-0.0714285714285714,0,0,-0.0769230769230769,"score_TV_end",1,"score_SATISFICE",1.08333333333333,"?",0
"EH3ED","121","winter22","asynch","Which shift(s) begin when C ends?",3,"F",TRUE,27.666,1,-0.0769230769230769,NA,0.333333333333333,-0.0833333333333333,-0.0769230769230769,NA,-0.0769230769230769,0,-0.0714285714285714,1,0,-0.0769230769230769,"score_TV_start",0.333333333333333,"score_SATISFICE",0.41025641025641,"?",0
"EH3ED","121","winter22","asynch","Which shift(s) end at 4 pm?",4,"D",FALSE,12.257,1,-0.0714285714285714,NA,-0.0769230769230769,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,NA,-0.0714285714285714,0,0,-0.0714285714285714,"score_TV_start",-0.0714285714285714,"score_TRI",0.0054945054945055,"?",0
"EH3ED","121","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"H",FALSE,101.888,1,-0.0769230769230769,NA,-0.0769230769230769,-0.0833333333333333,-0.0833333333333333,NA,NA,0,-0.0714285714285714,0,0,-0.0833333333333333,"score_TV_max",-0.0769230769230769,"score_TRI",0.0064102564102564,"?",0
"BBPLJ","121","winter22","asynch","Which shift(s) start at 11 am?",1,"",FALSE,58.116,0,0,NA,0,0,0,0,NA,0,0,0,0,0,"score_TV_max",0,"score_TRI",0,"blank",0
"BBPLJ","121","winter22","asynch","Which shift(s) start at the same time as D?",2,"",FALSE,27.799,0,0,NA,0,0,0,0,0,0,0,0,0,0,"score_TV_max",0,"score_TRI",0,"blank",0
"BBPLJ","121","winter22","asynch","Which shift(s) begin when C ends?",3,"",FALSE,34.157,0,0,NA,0,0,0,NA,0,0,0,0,0,0,"score_TV_max",0,"score_TRI",0,"blank",0
"BBPLJ","121","winter22","asynch","Which shift(s) end at 4 pm?",4,"D",FALSE,11.999,1,-0.0714285714285714,NA,-0.0769230769230769,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,NA,-0.0714285714285714,0,0,-0.0714285714285714,"score_TV_start",-0.0714285714285714,"score_TRI",0.0054945054945055,"?",0
"BBPLJ","121","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"H",FALSE,147.706,1,-0.0769230769230769,NA,-0.0769230769230769,-0.0833333333333333,-0.0833333333333333,NA,NA,0,-0.0714285714285714,0,0,-0.0833333333333333,"score_TV_max",-0.0769230769230769,"score_TRI",0.0064102564102564,"?",0
"9XEMK","111","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,27.807,1,-0.0769230769230769,1,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,NA,0.5,0,0,-0.0714285714285714,"score_TV_end",1,"score_ORTH",1.07692307692308,"Orthogonal",-1
"9XEMK","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,9.079,1,-0.0833333333333333,1,NA,-0.111111111111111,-0.0909090909090909,-0.0769230769230769,-0.0769230769230769,0,0.5,0,0,-0.0769230769230769,"score_TV_end",1,"score_ORTH",1.08333333333333,"?",0
"9XEMK","111","winter22","asynch","Which shift(s) begin when C ends?",3,"Z",FALSE,18.367,1,0,1,NA,-0.125,-0.0833333333333333,0,-0.0909090909090909,0,0.5,0,0,0,"score_TV_end",1,"score_ORTH",1,"?",0
"9XEMK","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"U",FALSE,32.982,1,-0.0714285714285714,1,NA,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,NA,0.5,0,0,-0.0714285714285714,"score_TV_start",1,"score_ORTH",1.07142857142857,"Orthogonal",-1
"9XEMK","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"U",FALSE,79.107,1,-0.0909090909090909,1,NA,0.333333333333333,-0.0769230769230769,0.5,NA,0,0.5,0,0,0.5,"score_TV_end",1,"score_ORTH",1.09090909090909,"?",0
"RVTK3","111","winter22","asynch","Which shift(s) start at 11 am?",1,"F",TRUE,20.582,1,1,-0.0833333333333333,NA,0.5,1,-0.0714285714285714,NA,NA,0.5,1,1,1,"score_TV_start",1,"score_TRI",1.08333333333333,"Triangular",1
"RVTK3","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"K",TRUE,10.643,1,1,-0.0833333333333333,NA,0.25,0.5,-0.0769230769230769,-0.0769230769230769,0,0.5,1,1,0.5,"score_TV_start",1,"score_TRI",1.08333333333333,"?",0
"RVTK3","111","winter22","asynch","Which shift(s) begin when C ends?",3,"F",TRUE,16.236,1,1,0,NA,0.166666666666667,-0.0833333333333333,1,-0.0909090909090909,0,0.5,1,1,1,"score_TV_end",1,"score_TRI",1,"?",0
"RVTK3","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"H",TRUE,8.803,1,1,-0.0833333333333333,NA,0.5,-0.0714285714285714,1,NA,NA,0.5,1,1,1,"score_TV_end",1,"score_TRI",1.08333333333333,"Triangular",1
"RVTK3","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"O",TRUE,14.911,1,1,-0.0769230769230769,NA,-0.142857142857143,-0.0769230769230769,-0.0833333333333333,NA,0,0.5,1,1,-0.0769230769230769,"score_TV_start",1,"score_TRI",1.07692307692308,"?",0
"4KH27","111","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,33.39,1,-0.0769230769230769,1,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,NA,0.5,0,0,-0.0714285714285714,"score_TV_end",1,"score_ORTH",1.07692307692308,"Orthogonal",-1
"4KH27","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,13,1,-0.0833333333333333,1,NA,-0.111111111111111,-0.0909090909090909,-0.0769230769230769,-0.0769230769230769,0,0.5,0,0,-0.0769230769230769,"score_TV_end",1,"score_ORTH",1.08333333333333,"?",0
"4KH27","111","winter22","asynch","Which shift(s) begin when C ends?",3,"Z",FALSE,20.356,1,0,1,NA,-0.125,-0.0833333333333333,0,-0.0909090909090909,0,0.5,0,0,0,"score_TV_end",1,"score_ORTH",1,"?",0
"4KH27","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"U",FALSE,39.317,1,-0.0714285714285714,1,NA,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,NA,0.5,0,0,-0.0714285714285714,"score_TV_start",1,"score_ORTH",1.07142857142857,"Orthogonal",-1
"4KH27","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"",FALSE,94.241,0,0,0,NA,0,0,0,NA,0,0,0,0,0,"score_TV_max",0,"score_TRI",0,"blank",0
"TCS5Z","121","winter22","asynch","Which shift(s) start at 11 am?",1,"",FALSE,19.29,0,0,NA,0,0,0,0,NA,0,0,0,0,0,"score_TV_max",0,"score_TRI",0,"blank",0
"TCS5Z","121","winter22","asynch","Which shift(s) start at the same time as D?",2,"",FALSE,17.499,0,0,NA,0,0,0,0,0,0,0,0,0,0,"score_TV_max",0,"score_TRI",0,"blank",0
"TCS5Z","121","winter22","asynch","Which shift(s) begin when C ends?",3,"B",FALSE,24.596,1,-0.0769230769230769,NA,-0.0909090909090909,0.5,-0.0769230769230769,NA,1,0,-0.0714285714285714,0,0,1,"score_TV_duration",1,"score_TVERSKY",1.09090909090909,"?",0
"TCS5Z","121","winter22","asynch","Which shift(s) end at 4 pm?",4,"D",FALSE,11.415,1,-0.0714285714285714,NA,-0.0769230769230769,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,NA,-0.0714285714285714,0,0,-0.0714285714285714,"score_TV_start",-0.0714285714285714,"score_TRI",0.0054945054945055,"?",0
"TCS5Z","121","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"K",FALSE,14.261,1,-0.0769230769230769,NA,1,-0.0833333333333333,-0.0833333333333333,NA,NA,0,-0.0714285714285714,0,0,-0.0833333333333333,"score_TV_max",1,"score_SATISFICE",1.08333333333333,"?",0
"HF78R","121","winter22","asynch","Which shift(s) start at 11 am?",1,"F",TRUE,155.626,1,1,NA,-0.0833333333333333,0.5,1,-0.0714285714285714,NA,NA,1,1,1,1,"score_TV_start",1,"score_TRI",1.08333333333333,"both tri + orth",0
"HF78R","121","winter22","asynch","Which shift(s) start at the same time as D?",2,"K",TRUE,24.444,1,1,NA,-0.0769230769230769,0.333333333333333,1,-0.0769230769230769,-0.0769230769230769,0,1,1,1,1,"score_TV_start",1,"score_TRI",1.07692307692308,"both tri + orth",0
"HF78R","121","winter22","asynch","Which shift(s) begin when C ends?",3,"AF",FALSE,224.905,2,-0.153846153846154,NA,0.666666666666667,-0.166666666666667,-0.153846153846154,NA,-0.153846153846154,0,-0.142857142857143,0,0,-0.153846153846154,"score_TV_start",0.666666666666667,"score_SATISFICE",0.82051282051282,"?",0
"HF78R","121","winter22","asynch","Which shift(s) end at 4 pm?",4,"D",FALSE,75.713,1,-0.0714285714285714,NA,-0.0769230769230769,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,NA,-0.0714285714285714,0,0,-0.0714285714285714,"score_TV_start",-0.0714285714285714,"score_TRI",0.0054945054945055,"?",0
"HF78R","121","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"A",TRUE,43.885,1,1,NA,-0.0769230769230769,-0.0833333333333333,-0.0833333333333333,NA,NA,0,1,1,1,-0.0833333333333333,"score_TV_max",1,"score_TRI",1.08333333333333,"both tri + orth",0
"JMZMZ","121","winter22","asynch","Which shift(s) start at 11 am?",1,"",FALSE,54.658,0,0,NA,0,0,0,0,NA,0,0,0,0,0,"score_TV_max",0,"score_TRI",0,"blank",0
"JMZMZ","121","winter22","asynch","Which shift(s) start at the same time as D?",2,"",FALSE,27.737,0,0,NA,0,0,0,0,0,0,0,0,0,0,"score_TV_max",0,"score_TRI",0,"blank",0
"JMZMZ","121","winter22","asynch","Which shift(s) begin when C ends?",3,"A",FALSE,62.508,1,-0.0769230769230769,NA,0.333333333333333,-0.0833333333333333,-0.0769230769230769,NA,-0.0769230769230769,0,-0.0714285714285714,0,0,-0.0769230769230769,"score_TV_start",0.333333333333333,"score_SATISFICE",0.41025641025641,"?",0
"JMZMZ","121","winter22","asynch","Which shift(s) end at 4 pm?",4,"F",FALSE,71.189,1,-0.0714285714285714,NA,0.5,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,NA,-0.0714285714285714,0,0,-0.0714285714285714,"score_TV_start",0.5,"score_SATISFICE",0.571428571428571,"Satisfice",-0.5
"JMZMZ","121","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"",FALSE,124.894,0,0,NA,0,0,0,NA,NA,0,0,0,0,0,"score_TV_max",0,"score_TRI",0,"blank",0
"H0HHM","121","winter22","asynch","Which shift(s) start at 11 am?",1,"F",TRUE,45.369,1,1,NA,-0.0833333333333333,0.5,1,-0.0714285714285714,NA,NA,1,1,1,1,"score_TV_start",1,"score_TRI",1.08333333333333,"both tri + orth",0
"H0HHM","121","winter22","asynch","Which shift(s) start at the same time as D?",2,"K",TRUE,23.502,1,1,NA,-0.0769230769230769,0.333333333333333,1,-0.0769230769230769,-0.0769230769230769,0,1,1,1,1,"score_TV_start",1,"score_TRI",1.07692307692308,"both tri + orth",0
"H0HHM","121","winter22","asynch","Which shift(s) begin when C ends?",3,"F",TRUE,15.518,1,-0.0769230769230769,NA,0.333333333333333,-0.0833333333333333,-0.0769230769230769,NA,-0.0769230769230769,0,-0.0714285714285714,1,0,-0.0769230769230769,"score_TV_start",0.333333333333333,"score_SATISFICE",0.41025641025641,"?",0
"H0HHM","121","winter22","asynch","Which shift(s) end at 4 pm?",4,"H",TRUE,17.379,1,1,NA,-0.0769230769230769,0.5,-0.0714285714285714,1,NA,NA,1,1,1,1,"score_TV_end",1,"score_TRI",1.07692307692308,"both tri + orth",0
"H0HHM","121","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"A",TRUE,43.771,1,1,NA,-0.0769230769230769,-0.0833333333333333,-0.0833333333333333,NA,NA,0,1,1,1,-0.0833333333333333,"score_TV_max",1,"score_TRI",1.08333333333333,"both tri + orth",0
"2KS3T","121","winter22","asynch","Which shift(s) start at 11 am?",1,"C",FALSE,72.598,1,-0.0714285714285714,NA,-0.0833333333333333,0.5,-0.0714285714285714,1,NA,NA,-0.0714285714285714,0,0,1,"score_TV_end",1,"score_TVERSKY",1.08333333333333,"Tversky",0.5
"2KS3T","121","winter22","asynch","Which shift(s) start at the same time as D?",2,"C",FALSE,60.563,1,-0.0833333333333333,NA,-0.0769230769230769,-0.1,-0.0833333333333333,-0.0769230769230769,-0.0769230769230769,0,-0.0714285714285714,0,0,-0.0769230769230769,"score_TV_end",-0.0769230769230769,"score_TVERSKY",0.0064102564102564,"?",0
"2KS3T","121","winter22","asynch","Which shift(s) begin when C ends?",3,"A",FALSE,140.175,1,-0.0769230769230769,NA,0.333333333333333,-0.0833333333333333,-0.0769230769230769,NA,-0.0769230769230769,0,-0.0714285714285714,0,0,-0.0769230769230769,"score_TV_start",0.333333333333333,"score_SATISFICE",0.41025641025641,"?",0
"2KS3T","121","winter22","asynch","Which shift(s) end at 4 pm?",4,"D",FALSE,41.16,1,-0.0714285714285714,NA,-0.0769230769230769,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,NA,-0.0714285714285714,0,0,-0.0714285714285714,"score_TV_start",-0.0714285714285714,"score_TRI",0.0054945054945055,"?",0
"2KS3T","121","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"A",TRUE,17.427,1,1,NA,-0.0769230769230769,-0.0833333333333333,-0.0833333333333333,NA,NA,0,1,1,1,-0.0833333333333333,"score_TV_max",1,"score_TRI",1.08333333333333,"both tri + orth",0
"1HLEP","121","winter22","asynch","Which shift(s) start at 11 am?",1,"E",FALSE,305.939,1,-0.0714285714285714,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,NA,-0.0714285714285714,0,0,-0.0714285714285714,"score_TV_start",-0.0714285714285714,"score_TRI",0.0119047619047619,"?",0
"1HLEP","121","winter22","asynch","Which shift(s) start at the same time as D?",2,"C",FALSE,142.969,1,-0.0833333333333333,NA,-0.0769230769230769,-0.1,-0.0833333333333333,-0.0769230769230769,-0.0769230769230769,0,-0.0714285714285714,0,0,-0.0769230769230769,"score_TV_end",-0.0769230769230769,"score_TVERSKY",0.0064102564102564,"?",0
"1HLEP","121","winter22","asynch","Which shift(s) begin when C ends?",3,"C",FALSE,206.463,1,0,NA,0,0,0,NA,0,1,-0.0714285714285714,0,0,0,"score_TV_max",0,"score_TRI",0,"reference",0
"1HLEP","121","winter22","asynch","Which shift(s) end at 4 pm?",4,"D",FALSE,15.379,1,-0.0714285714285714,NA,-0.0769230769230769,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,NA,-0.0714285714285714,0,0,-0.0714285714285714,"score_TV_start",-0.0714285714285714,"score_TRI",0.0054945054945055,"?",0
"1HLEP","121","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"O",FALSE,252.681,1,-0.0769230769230769,NA,-0.0769230769230769,0.5,0.5,NA,NA,0,-0.0714285714285714,0,0,0.5,"score_TV_max",0.5,"score_TVERSKY",0.576923076923077,"?",0
"EBSJV","111","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,24.993,1,-0.0769230769230769,1,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,NA,0.5,0,0,-0.0714285714285714,"score_TV_end",1,"score_ORTH",1.07692307692308,"Orthogonal",-1
"EBSJV","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,23.145,1,-0.0833333333333333,1,NA,-0.111111111111111,-0.0909090909090909,-0.0769230769230769,-0.0769230769230769,0,0.5,0,0,-0.0769230769230769,"score_TV_end",1,"score_ORTH",1.08333333333333,"?",0
"EBSJV","111","winter22","asynch","Which shift(s) begin when C ends?",3,"A",FALSE,30.946,1,-0.0833333333333333,-0.1,NA,0.166666666666667,-0.0833333333333333,-0.0833333333333333,0.333333333333333,0,-0.0769230769230769,0,0,0.333333333333333,"score_TV_duration",0.333333333333333,"score_TVERSKY",0.433333333333333,"?",0
"EBSJV","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"DE",FALSE,12.36,2,-0.142857142857143,-0.166666666666667,NA,-0.153846153846154,-0.142857142857143,-0.142857142857143,NA,0,-0.153846153846154,0,0,-0.142857142857143,"score_TV_start",-0.142857142857143,"score_TRI",0.0238095238095238,"?",0
"EBSJV","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"DJ",FALSE,50.766,2,-0.181818181818182,-0.153846153846154,NA,-0.142857142857143,-0.153846153846154,-0.166666666666667,NA,0,-0.153846153846154,0,0,-0.142857142857143,"score_TV_max",-0.142857142857143,"score_TVERSKY",0.038961038961039,"?",0
"QWPKO","121","winter22","asynch","Which shift(s) start at 11 am?",1,"F",TRUE,31.594,1,1,NA,-0.0833333333333333,0.5,1,-0.0714285714285714,NA,NA,1,1,1,1,"score_TV_start",1,"score_TRI",1.08333333333333,"both tri + orth",0
"QWPKO","121","winter22","asynch","Which shift(s) start at the same time as D?",2,"K",TRUE,10.698,1,1,NA,-0.0769230769230769,0.333333333333333,1,-0.0769230769230769,-0.0769230769230769,0,1,1,1,1,"score_TV_start",1,"score_TRI",1.07692307692308,"both tri + orth",0
"QWPKO","121","winter22","asynch","Which shift(s) begin when C ends?",3,"",FALSE,9.592,0,0,NA,0,0,0,NA,0,0,0,0,0,0,"score_TV_max",0,"score_TRI",0,"blank",0
"QWPKO","121","winter22","asynch","Which shift(s) end at 4 pm?",4,"H",TRUE,7.184,1,1,NA,-0.0769230769230769,0.5,-0.0714285714285714,1,NA,NA,1,1,1,1,"score_TV_end",1,"score_TRI",1.07692307692308,"both tri + orth",0
"QWPKO","121","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"A",TRUE,10.362,1,1,NA,-0.0769230769230769,-0.0833333333333333,-0.0833333333333333,NA,NA,0,1,1,1,-0.0833333333333333,"score_TV_max",1,"score_TRI",1.08333333333333,"both tri + orth",0
"NEK50","111","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,75.904,1,-0.0769230769230769,1,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,NA,0.5,0,0,-0.0714285714285714,"score_TV_end",1,"score_ORTH",1.07692307692308,"Orthogonal",-1
"NEK50","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,23.933,1,-0.0833333333333333,1,NA,-0.111111111111111,-0.0909090909090909,-0.0769230769230769,-0.0769230769230769,0,0.5,0,0,-0.0769230769230769,"score_TV_end",1,"score_ORTH",1.08333333333333,"?",0
"NEK50","111","winter22","asynch","Which shift(s) begin when C ends?",3,"Z",FALSE,30.067,1,0,1,NA,-0.125,-0.0833333333333333,0,-0.0909090909090909,0,0.5,0,0,0,"score_TV_end",1,"score_ORTH",1,"?",0
"NEK50","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"U",FALSE,110.425,1,-0.0714285714285714,1,NA,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,NA,0.5,0,0,-0.0714285714285714,"score_TV_start",1,"score_ORTH",1.07142857142857,"Orthogonal",-1
"NEK50","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"U",FALSE,50.219,1,-0.0909090909090909,1,NA,0.333333333333333,-0.0769230769230769,0.5,NA,0,0.5,0,0,0.5,"score_TV_end",1,"score_ORTH",1.09090909090909,"?",0
"43L8M","121","winter22","asynch","Which shift(s) start at 11 am?",1,"",FALSE,15.473,0,0,NA,0,0,0,0,NA,0,0,0,0,0,"score_TV_max",0,"score_TRI",0,"blank",0
"43L8M","121","winter22","asynch","Which shift(s) start at the same time as D?",2,"",FALSE,8.35,0,0,NA,0,0,0,0,0,0,0,0,0,0,"score_TV_max",0,"score_TRI",0,"blank",0
"43L8M","121","winter22","asynch","Which shift(s) begin when C ends?",3,"",FALSE,10.391,0,0,NA,0,0,0,NA,0,0,0,0,0,0,"score_TV_max",0,"score_TRI",0,"blank",0
"43L8M","121","winter22","asynch","Which shift(s) end at 4 pm?",4,"H",TRUE,25.412,1,1,NA,-0.0769230769230769,0.5,-0.0714285714285714,1,NA,NA,1,1,1,1,"score_TV_end",1,"score_TRI",1.07692307692308,"both tri + orth",0
"43L8M","121","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"A",TRUE,13.965,1,1,NA,-0.0769230769230769,-0.0833333333333333,-0.0833333333333333,NA,NA,0,1,1,1,-0.0833333333333333,"score_TV_max",1,"score_TRI",1.08333333333333,"both tri + orth",0
"23WXV","121","winter22","asynch","Which shift(s) start at 11 am?",1,"F",TRUE,150.903,1,1,NA,-0.0833333333333333,0.5,1,-0.0714285714285714,NA,NA,1,1,1,1,"score_TV_start",1,"score_TRI",1.08333333333333,"both tri + orth",0
"23WXV","121","winter22","asynch","Which shift(s) start at the same time as D?",2,"K",TRUE,33.246,1,1,NA,-0.0769230769230769,0.333333333333333,1,-0.0769230769230769,-0.0769230769230769,0,1,1,1,1,"score_TV_start",1,"score_TRI",1.07692307692308,"both tri + orth",0
