"subject","condition","term","mode","question","q","response","correct","rt_s","num_o","pretty_condition","SHAPE","SCALE","pretty_mode","IMPASSE","score_TRI","score_ORTH","score_BOTH","score_SAT_left","score_SAT_right","score_TV_max","score_TV_start","score_TV_end","score_TV_duration","score_REF","score_ABS","score_niceABS","score_TVERSKY","tv_type","score_SATISFICE","sat_type","top_score","top_type","range","int2","interpretation","high_interpretation","override","score_SCALED","score_STATE"
"DY0BB","113","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E",FALSE,35.609,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0666666666666667,1,0.5,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,1,"score_ORTH",1.06666666666667,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"DY0BB","113","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I",TRUE,137.992,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,1,1,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans","",0.5,"tri-like"
"DY0BB","113","winter22","asynch","Which shift(s) end at the same time as F?",10,"X",FALSE,19.027,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0625,1,0.5,NA,NA,-0.0714285714285714,-0.0625,-0.0625,-0.0625,0,0,0,-0.0625,"score_TV_start",NA,NA,1,"score_ORTH",1.0625,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"DY0BB","113","winter22","asynch","Which shift(s) start at 12pm?",11,"BF",FALSE,37.786,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.125,1,0.5,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"DY0BB","113","winter22","asynch","Which shift(s) start at the same time as F?",12,"B",FALSE,34.867,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0625,1,0.5,NA,NA,-0.0666666666666667,-0.0625,NA,-0.0625,0,0,0,-0.0625,"score_TV_start",NA,NA,1,"score_ORTH",1.0625,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"DY0BB","113","winter22","asynch","Which 2 shifts end when Z begins?",13,"FX",FALSE,88.309,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",0.433333333333333,1,0.666666666666667,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,1,"score_ORTH",0.566666666666667,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"DY0BB","113","winter22","asynch","Which shift(s) end at 3pm?",14,"",FALSE,36.672,0,"Tri-Isosceles","TRI","isosceles","online-replication","none",0,0,0,NA,NA,0,NA,0,0,0,0,0,0,"score_TV_max",NA,NA,0,"score_TRI",0,"blank","blank","neutral","",0,"unknown"
"DY0BB","113","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"F",FALSE,140.471,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0625,0.5,0.25,NA,NA,-0.0666666666666667,-0.0588235294117647,NA,NA,0,0,0,-0.0588235294117647,"score_TV_start",NA,NA,0.5,"score_ORTH",0.5625,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"304O6","113","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,67.8,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0769230769230769,1,0.5,NA,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,0,0,0,-0.0714285714285714,"score_TV_end",NA,NA,1,"score_ORTH",1.07692307692308,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"304O6","113","winter22","asynch","Which shift(s) start at the same time as D?",2,"X",FALSE,51.251,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0833333333333333,-0.0833333333333333,-0.0769230769230769,NA,NA,0.25,-0.0909090909090909,1,-0.0769230769230769,0,0,0,1,"score_TV_end",NA,NA,1,"score_TVERSKY",1.08333333333333,"Tversky","Tversky","pos.trans","",0.5,"tri-like"
"304O6","113","winter22","asynch","Which shift(s) begin when C ends?",3,"U",FALSE,121.741,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0833333333333333,-0.1,-0.0769230769230769,NA,NA,0.166666666666667,-0.0833333333333333,-0.0833333333333333,0.333333333333333,0,0,0,0.333333333333333,"score_TV_duration",NA,NA,0.333333333333333,"score_TVERSKY",0.433333333333333,"?","?","neg.trans","",-0.5,"unknown"
"304O6","113","winter22","asynch","Which shift(s) end at 4 pm?",4,"H",TRUE,188.485,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,-0.0833333333333333,0.5,NA,NA,0.5,-0.0714285714285714,1,NA,0,1,1,1,"score_TV_end",NA,NA,1,"score_TRI",1.08333333333333,"Triangular","Triangular","triangular","",1,"tri-like"
"304O6","113","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"",FALSE,268.308,0,"Tri-Isosceles","TRI","isosceles","online-replication","none",0,0,0,NA,NA,0,0,0,NA,0,0,0,0,"score_TV_max",NA,NA,0,"score_TRI",0,"blank","blank","neutral","",0,"unknown"
"304O6","113","winter22","asynch","Which shift(s) are six hours long?",6,"EG",TRUE,62.182,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,1,1,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans","",0.5,"tri-like"
"304O6","113","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"BF",FALSE,77.174,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.125,1,0.5,NA,NA,-0.2,-0.125,-0.142857142857143,-0.125,0,0,0,-0.125,"score_TV_start",NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"304O6","113","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"",FALSE,231.161,0,"Tri-Isosceles","TRI","isosceles","online-replication","none",0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,"score_TRI",0,"blank","blank","neutral","",0,"unknown"
"304O6","113","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"M",FALSE,74.885,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0666666666666667,-0.0666666666666667,-0.0588235294117647,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,-0.0666666666666667,"score_TRI",0,"?","?","neg.trans","",-0.5,"unknown"
"304O6","113","winter22","asynch","Which shift(s) end at the same time as F?",10,"X",FALSE,78.288,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0625,1,0.5,NA,NA,-0.0714285714285714,-0.0625,-0.0625,-0.0625,0,0,0,-0.0625,"score_TV_start",NA,NA,1,"score_ORTH",1.0625,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"304O6","113","winter22","asynch","Which shift(s) start at 12pm?",11,"BF",FALSE,26.469,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.125,1,0.5,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"304O6","113","winter22","asynch","Which shift(s) start at the same time as F?",12,"B",FALSE,20.214,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0625,1,0.5,NA,NA,-0.0666666666666667,-0.0625,NA,-0.0625,0,0,0,-0.0625,"score_TV_start",NA,NA,1,"score_ORTH",1.0625,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"304O6","113","winter22","asynch","Which 2 shifts end when Z begins?",13,"FX",FALSE,125.563,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",0.433333333333333,1,0.666666666666667,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,1,"score_ORTH",0.566666666666667,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"304O6","113","winter22","asynch","Which shift(s) end at 3pm?",14,"B",FALSE,87.571,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0588235294117647,1,0.5,NA,NA,-0.0714285714285714,NA,-0.0588235294117647,-0.0666666666666667,0,0,0,-0.0588235294117647,"score_TV_end",NA,NA,1,"score_ORTH",1.05882352941176,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"304O6","113","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"",FALSE,146.951,0,"Tri-Isosceles","TRI","isosceles","online-replication","none",0,0,0,NA,NA,0,0,NA,NA,0,0,0,0,"score_TV_max",NA,NA,0,"score_TRI",0,"blank","blank","neutral","",0,"unknown"
"WA4UC","113","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,33.757,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0769230769230769,1,0.5,NA,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,0,0,0,-0.0714285714285714,"score_TV_end",NA,NA,1,"score_ORTH",1.07692307692308,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"WA4UC","113","winter22","asynch","Which shift(s) start at the same time as D?",2,"J",FALSE,14.421,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0833333333333333,-0.0833333333333333,-0.0769230769230769,NA,NA,0.25,-0.0909090909090909,-0.0769230769230769,1,0,0,0,1,"score_TV_duration",NA,NA,1,"score_TVERSKY",1.08333333333333,"Tversky","Tversky","pos.trans","",0.5,"tri-like"
"WA4UC","113","winter22","asynch","Which shift(s) begin when C ends?",3,"Z",FALSE,64.079,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",0,1,0.5,NA,NA,-0.125,-0.0833333333333333,0,-0.0909090909090909,0,0,0,0,"score_TV_end",NA,NA,1,"score_ORTH",1,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"WA4UC","113","winter22","asynch","Which shift(s) end at 4 pm?",4,"FU",FALSE,88.777,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.142857142857143,1,0.423076923076923,NA,NA,-0.153846153846154,-0.142857142857143,-0.142857142857143,NA,0,0,0,-0.142857142857143,"score_TV_start",NA,NA,1,"score_ORTH",1.14285714285714,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"WA4UC","113","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"U",FALSE,194.425,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0909090909090909,1,0.5,NA,NA,0.333333333333333,-0.0769230769230769,0.5,NA,0,0,0,0.5,"score_TV_end",NA,NA,1,"score_ORTH",1.09090909090909,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"WA4UC","113","winter22","asynch","Which shift(s) are six hours long?",6,"EG",TRUE,9.051,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,1,1,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans","",0.5,"tri-like"
"WA4UC","113","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"BF",FALSE,31.55,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.125,1,0.5,NA,NA,-0.2,-0.125,-0.142857142857143,-0.125,0,0,0,-0.125,"score_TV_start",NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"WA4UC","113","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E",FALSE,70.885,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0666666666666667,1,0.5,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,1,"score_ORTH",1.06666666666667,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"WA4UC","113","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I",TRUE,37.153,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,1,1,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans","",0.5,"tri-like"
"WA4UC","113","winter22","asynch","Which shift(s) end at the same time as F?",10,"X",FALSE,240.319,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0625,1,0.5,NA,NA,-0.0714285714285714,-0.0625,-0.0625,-0.0625,0,0,0,-0.0625,"score_TV_start",NA,NA,1,"score_ORTH",1.0625,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"WA4UC","113","winter22","asynch","Which shift(s) start at 12pm?",11,"BF",FALSE,16.575,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.125,1,0.5,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"WA4UC","113","winter22","asynch","Which shift(s) start at the same time as F?",12,"B",FALSE,16.907,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0625,1,0.5,NA,NA,-0.0666666666666667,-0.0625,NA,-0.0625,0,0,0,-0.0625,"score_TV_start",NA,NA,1,"score_ORTH",1.0625,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"WA4UC","113","winter22","asynch","Which 2 shifts end when Z begins?",13,"FX",FALSE,22.926,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",0.433333333333333,1,0.666666666666667,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,1,"score_ORTH",0.566666666666667,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"WA4UC","113","winter22","asynch","Which shift(s) end at 3pm?",14,"B",FALSE,43.098,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0588235294117647,1,0.5,NA,NA,-0.0714285714285714,NA,-0.0588235294117647,-0.0666666666666667,0,0,0,-0.0588235294117647,"score_TV_end",NA,NA,1,"score_ORTH",1.05882352941176,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"WA4UC","113","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"EF",FALSE,95.71,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.125,1,0.5,NA,NA,-0.133333333333333,-0.117647058823529,NA,NA,0,0,0,-0.117647058823529,"score_TV_start",NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"APAMB","113","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,30.273,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0769230769230769,1,0.5,NA,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,0,0,0,-0.0714285714285714,"score_TV_end",NA,NA,1,"score_ORTH",1.07692307692308,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"APAMB","113","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,11.391,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0833333333333333,1,0.5,NA,NA,-0.111111111111111,-0.0909090909090909,-0.0769230769230769,-0.0769230769230769,0,0,0,-0.0769230769230769,"score_TV_end",NA,NA,1,"score_ORTH",1.08333333333333,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"APAMB","113","winter22","asynch","Which shift(s) begin when C ends?",3,"Z",FALSE,17.652,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",0,1,0.5,NA,NA,-0.125,-0.0833333333333333,0,-0.0909090909090909,0,0,0,0,"score_TV_end",NA,NA,1,"score_ORTH",1,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"APAMB","113","winter22","asynch","Which shift(s) end at 4 pm?",4,"U",FALSE,91.198,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0714285714285714,1,0.5,NA,NA,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,0,0,0,-0.0714285714285714,"score_TV_start",NA,NA,1,"score_ORTH",1.07142857142857,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"APAMB","113","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"U",FALSE,128.071,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0909090909090909,1,0.5,NA,NA,0.333333333333333,-0.0769230769230769,0.5,NA,0,0,0,0.5,"score_TV_end",NA,NA,1,"score_ORTH",1.09090909090909,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"APAMB","113","winter22","asynch","Which shift(s) are six hours long?",6,"EG",TRUE,12.79,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,1,1,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans","",0.5,"tri-like"
"APAMB","113","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"BF",FALSE,29.253,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.125,1,0.5,NA,NA,-0.2,-0.125,-0.142857142857143,-0.125,0,0,0,-0.125,"score_TV_start",NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"APAMB","113","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E",FALSE,80.973,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0666666666666667,1,0.5,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,1,"score_ORTH",1.06666666666667,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"APAMB","113","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I",TRUE,21.281,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,1,1,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans","",0.5,"tri-like"
"APAMB","113","winter22","asynch","Which shift(s) end at the same time as F?",10,"X",FALSE,76.627,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0625,1,0.5,NA,NA,-0.0714285714285714,-0.0625,-0.0625,-0.0625,0,0,0,-0.0625,"score_TV_start",NA,NA,1,"score_ORTH",1.0625,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"APAMB","113","winter22","asynch","Which shift(s) start at 12pm?",11,"BF",FALSE,15.51,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.125,1,0.5,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"APAMB","113","winter22","asynch","Which shift(s) start at the same time as F?",12,"B",FALSE,9.366,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0625,1,0.5,NA,NA,-0.0666666666666667,-0.0625,NA,-0.0625,0,0,0,-0.0625,"score_TV_start",NA,NA,1,"score_ORTH",1.0625,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"APAMB","113","winter22","asynch","Which 2 shifts end when Z begins?",13,"FX",FALSE,40.572,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",0.433333333333333,1,0.666666666666667,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,1,"score_ORTH",0.566666666666667,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"APAMB","113","winter22","asynch","Which shift(s) end at 3pm?",14,"B",FALSE,39.231,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0588235294117647,1,0.5,NA,NA,-0.0714285714285714,NA,-0.0588235294117647,-0.0666666666666667,0,0,0,-0.0588235294117647,"score_TV_end",NA,NA,1,"score_ORTH",1.05882352941176,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"APAMB","113","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"EF",FALSE,91.164,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.125,1,0.5,NA,NA,-0.133333333333333,-0.117647058823529,NA,NA,0,0,0,-0.117647058823529,"score_TV_start",NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"O3FRB","113","winter22","asynch","Which shift(s) start at 11 am?",1,"ACF",FALSE,26.078,3,"Tri-Isosceles","TRI","isosceles","online-replication","none",0.846153846153846,0.833333333333333,0.923076923076923,NA,NA,0.916666666666667,0.846153846153846,0.857142857142857,NA,0,0,0,0.916666666666667,"score_TV_max",NA,NA,0.916666666666667,"score_TVERSKY",0.0833333333333333,"?","?","neg.trans","",-0.5,"unknown"
"O3FRB","113","winter22","asynch","Which shift(s) start at the same time as D?",2,"K",TRUE,6.568,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,-0.0833333333333333,0.5,NA,NA,0.25,0.5,-0.0769230769230769,-0.0769230769230769,0,1,1,0.5,"score_TV_start",NA,NA,1,"score_TRI",1.08333333333333,"Triangular","Triangular","triangular","",1,"tri-like"
"O3FRB","113","winter22","asynch","Which shift(s) begin when C ends?",3,"F",TRUE,8.018,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,0,0.5,NA,NA,0.166666666666667,-0.0833333333333333,1,-0.0909090909090909,0,1,1,1,"score_TV_end",NA,NA,1,"score_TRI",1,"Triangular","Triangular","triangular","",1,"tri-like"
"O3FRB","113","winter22","asynch","Which shift(s) end at 4 pm?",4,"H",TRUE,8.801,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,-0.0833333333333333,0.5,NA,NA,0.5,-0.0714285714285714,1,NA,0,1,1,1,"score_TV_end",NA,NA,1,"score_TRI",1.08333333333333,"Triangular","Triangular","triangular","",1,"tri-like"
"O3FRB","113","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"O",TRUE,10.685,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,-0.0769230769230769,0.5,NA,NA,-0.142857142857143,-0.0769230769230769,-0.0833333333333333,NA,0,1,1,-0.0769230769230769,"score_TV_start",NA,NA,1,"score_TRI",1.07692307692308,"Triangular","Triangular","triangular","",1,"tri-like"
"O3FRB","113","winter22","asynch","Which shift(s) are six hours long?",6,"EG",TRUE,10.239,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,1,1,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans","",0.5,"tri-like"
"O3FRB","113","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"OX",TRUE,18.135,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,-0.133333333333333,0.5,NA,NA,0.25,1,-0.142857142857143,-0.125,0,1,1,1,"score_TV_start",NA,NA,1,"score_TRI",1.13333333333333,"Triangular","Triangular","triangular","",1,"tri-like"
"O3FRB","113","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"F",FALSE,19.838,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0666666666666667,0,-0.0625,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,"score_ORTH",0.0666666666666667,"?","?","neg.trans","",-0.5,"unknown"
"O3FRB","113","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"E",FALSE,35.487,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0666666666666667,-0.0666666666666667,-0.0588235294117647,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,-0.0666666666666667,"score_TRI",0,"?","?","neg.trans","",-0.5,"unknown"
"O3FRB","113","winter22","asynch","Which shift(s) end at the same time as F?",10,"E",TRUE,8.059,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,-0.0625,0.5,NA,NA,0.333333333333333,-0.0625,1,-0.0625,0,1,1,1,"score_TV_end",NA,NA,1,"score_TRI",1.0625,"Triangular","Triangular","triangular","",1,"tri-like"
"O3FRB","113","winter22","asynch","Which shift(s) start at 12pm?",11,"L",FALSE,8.069,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",0.5,-0.0625,0.25,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,0.5,"score_TRI",0.5625,"Triangular","Triangular","triangular","",1,"tri-like"
"O3FRB","113","winter22","asynch","Which shift(s) start at the same time as F?",12,"G",TRUE,11.501,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,-0.0625,0.5,NA,NA,0.5,1,NA,-0.0625,0,1,1,1,"score_TV_start",NA,NA,1,"score_TRI",1.0625,"Triangular","Triangular","triangular","",1,"tri-like"
"O3FRB","113","winter22","asynch","Which 2 shifts end when Z begins?",13,"EF",TRUE,10.835,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,0.433333333333333,0.666666666666667,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,"score_TRI",0.566666666666667,"Triangular","Triangular","triangular","",1,"tri-like"
"O3FRB","113","winter22","asynch","Which shift(s) end at 3pm?",14,"X",TRUE,6.69,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,-0.0588235294117647,0.5,NA,NA,0.25,NA,1,-0.0666666666666667,0,1,1,1,"score_TV_end",NA,NA,1,"score_TRI",1.05882352941176,"Triangular","Triangular","triangular","",1,"tri-like"
"O3FRB","113","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"KX",TRUE,10.452,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",1,-0.133333333333333,0.5,NA,NA,0.666666666666667,-0.117647058823529,NA,NA,0,1,1,0.666666666666667,"score_TV_max",NA,NA,1,"score_TRI",1.13333333333333,"Triangular","Triangular","triangular","",1,"tri-like"
"1L782","113","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,24.147,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0769230769230769,1,0.5,NA,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,0,0,0,-0.0714285714285714,"score_TV_end",NA,NA,1,"score_ORTH",1.07692307692308,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"1L782","113","winter22","asynch","Which shift(s) start at the same time as D?",2,"J",FALSE,11.214,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0833333333333333,-0.0833333333333333,-0.0769230769230769,NA,NA,0.25,-0.0909090909090909,-0.0769230769230769,1,0,0,0,1,"score_TV_duration",NA,NA,1,"score_TVERSKY",1.08333333333333,"Tversky","Tversky","pos.trans","",0.5,"tri-like"
"1L782","113","winter22","asynch","Which shift(s) begin when C ends?",3,"U",FALSE,37.6,1,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.0833333333333333,-0.1,-0.0769230769230769,NA,NA,0.166666666666667,-0.0833333333333333,-0.0833333333333333,0.333333333333333,0,0,0,0.333333333333333,"score_TV_duration",NA,NA,0.333333333333333,"score_TVERSKY",0.433333333333333,"?","?","neg.trans","",-0.5,"unknown"
"1L782","113","winter22","asynch","Which shift(s) end at 4 pm?",4,"DE",FALSE,20.89,2,"Tri-Isosceles","TRI","isosceles","online-replication","none",-0.142857142857143,-0.166666666666667,-0.153846153846154,NA,NA,-0.153846153846154,-0.142857142857143,-0.142857142857143,NA,0,0,0,-0.142857142857143,"score_TV_start",NA,NA,-0.142857142857143,"score_TRI",0.0238095238095238,"?","?","neg.trans","",-0.5,"unknown"
