"subject","condition","term","mode","q","response","question"
"N8PCJ","121","fall21","asynch",16,"You determine the starting of an event by looking at the x-axis ""Start and End Time"" and looking which ones start at 12 pm.","Please describe how to determine what event(s) start at 12pm?"
"DMJ14","121","winter22","asynch",16,"B and F referring to the y axis","Please describe how to determine what event(s) start at 12pm?"
"UJFX9","121","winter22","asynch",16,"You start on the x axis where the times are listed and look for the points that land on 12pm and those are are the shifts that start at 12pm.","Please describe how to determine what event(s) start at 12pm?"
"34FAZ","121","winter22","asynch",16,"starting at the 12 pm point on the x-axis and going up vertically, these are the shifts that begin at 12 pm
","Please describe how to determine what event(s) start at 12pm?"
"RDYS7","111","winter22","asynch",16,"focus on a point and look what it is under on the y axis, so for M the point on the y axis will be 12:30 ","Please describe how to determine what event(s) start at 12pm?"
"NBR5N","121","winter22","asynch",16,"Each shift point creates a triangle with the left side of the triangle leading back to where the shift starts on the x-axis.  To see which event starts at 12, one must look for the points on the diagonal line starting from 12 on the x-axis that is going in the upper right direction.","Please describe how to determine what event(s) start at 12pm?"
"QWPKO","121","winter22","asynch",16,"Go to 12pm on x axis then go up diagonally on the line that begins there.","Please describe how to determine what event(s) start at 12pm?"
"2KS3T","121","winter22","asynch",16,"B and F shows the start time of the day","Please describe how to determine what event(s) start at 12pm?"
"UN7PD","111","winter22","asynch",16,"Start on the x-axis at 12pm, then trace up the diagonal line that goes towards the right. Doing so would show that M and L start at 12pm.","Please describe how to determine what event(s) start at 12pm?"
"JHTYA","111","winter22","asynch",16,"M & L start at 12pm because I followed the line of the triangle","Please describe how to determine what event(s) start at 12pm?"
"HV8ZE","121","winter22","asynch",16,"I follow the straight line from where it says 12pm so F and B","Please describe how to determine what event(s) start at 12pm?"
"43L8M","121","winter22","asynch",16,"dots that are on the up-right line from 12
","Please describe how to determine what event(s) start at 12pm?"
"WBJ2T","121","winter22","asynch",16,"I am looking at the linear line that starts at 12pm and goes up one and right one every hour. So M and L started at 12pm.","Please describe how to determine what event(s) start at 12pm?"
"KGNC3","121","winter22","asynch",16,"The points on the line that moves diagonally right from 12pm are the shifts that start at 12pm.","Please describe how to determine what event(s) start at 12pm?"
"BBPLJ","121","winter22","asynch",16,"By the X axis, the start and end time, find 12pm and go up the Y axis, duration, and look for a dot","Please describe how to determine what event(s) start at 12pm?"
"TAEHJ","121","winter22","asynch",16,"Going along the x-axis, which represents the start and end time of the work day, you go to the portion of the graph marked at 12pm and moving along the y-axis vertically in a straight line, see which point fall on that straight line. In this case, it would be F and B, with F being a 4-hour shift and B being a 3-hour shift.","Please describe how to determine what event(s) start at 12pm?"
"6HUZT","121","winter22","asynch",16,"You look at the 12 dash and follow the line ascending to the right until you reach points","Please describe how to determine what event(s) start at 12pm?"
"NEK50","111","winter22","asynch",16,"The events which are in the same column as the point on the x-axis marked '12 PM' start at 12 PM.","Please describe how to determine what event(s) start at 12pm?"
"C2AHN","111","winter22","asynch",16,"Go to 12pm on the x axis and make a vertical line at 12pm. Any labeled point along that vertical line is a shift that starts at 12pm. ","Please describe how to determine what event(s) start at 12pm?"
"4GC8J","121","winter22","asynch",16,"1. view all slanted lines as a function y=kx+b.
2. find at the lines where k is positive 
3. within those options, find the lines that intersect with the x-axis at 12 pm.","Please describe how to determine what event(s) start at 12pm?"
"SKPWA","111","winter22","asynch",16,"Look at the x-axis labeled (Start and End Time) and find 12 pm. Draw a straight line vertically at a 90 degree angle to the x-axis and any points that fall on the line are shifts that start at 12 pm.","Please describe how to determine what event(s) start at 12pm?"
"E0F55","121","winter22","asynch",16,"In order to find the events starting, the line going in an upward right direction shows schedules at 12pm. An example is L, which begins at 12pm, has a break at 3:30pm, and the shift ends at 7pm, for a 7 hour shift.","Please describe how to determine what event(s) start at 12pm?"
"X7HS7","121","winter22","asynch",16,"We see which dots are at a y value when divided by 2 gives the number of spaces on the x axis that the dot should be from 12 pm. ","Please describe how to determine what event(s) start at 12pm?"
"A3QHP","111","winter22","asynch",16,"what lines up to 12 pm","Please describe how to determine what event(s) start at 12pm?"
"EBSJV","111","winter22","asynch",16,"I DETERMINED THE EVENTS THAT START AT 12PM BY LOOKING AT THE X-AXIS OF THE GRAPH AND GOING UP TO SEE THAT A STARTED AT 12PM","Please describe how to determine what event(s) start at 12pm?"
"JCKEW","111","winter22","asynch",16,"look which are in a stright line vertically","Please describe how to determine what event(s) start at 12pm?"
"853JQ","111","winter22","asynch",16,"I looked at the block dots, and determined the time a shift starts is when the time indicated by the graph on the x-axis below the dot.","Please describe how to determine what event(s) start at 12pm?"
"NDBCA","121","winter22","asynch",16,"To determine what event(s) start at 12pm, you would go to the 12pm tick mark and follow the line diagonally. For breaks, you would have to split the hours in half and see if it takes place at 12pm","Please describe how to determine what event(s) start at 12pm?"
"EBSH0","111","winter22","asynch",16,"check the x axis and see which letters are on 12pm","Please describe how to determine what event(s) start at 12pm?"
"05EWA","121","winter22","asynch",16,"using the diagnal line from 12pm
","Please describe how to determine what event(s) start at 12pm?"
"G5HED","111","winter22","asynch",16,"Events aligned with the point on the horizontal axis at the point of 12PM","Please describe how to determine what event(s) start at 12pm?"
"23WXV","121","winter22","asynch",16,"To determine what events start at 12pm, one must find 12pm on the x-axis then follow the gray linear line at its right. ","Please describe how to determine what event(s) start at 12pm?"
"4YF1J","111","winter22","asynch",16,"find 12pm then look up","Please describe how to determine what event(s) start at 12pm?"
"G1GGZ","121","winter22","asynch",16,"You look at the x axis (Start and End Time (time of day)) and locate 12 PM on that line then directly go up and see if there are any points that align with that time. ","Please describe how to determine what event(s) start at 12pm?"
"RVTK3","111","winter22","asynch",16,"Look at the points on the ""/"" facing diagonal starting from 12pm ","Please describe how to determine what event(s) start at 12pm?"
"EH3ED","121","winter22","asynch",16,"For shift start, follow the 12pm on the xaxis up. For shift end, add shift hours and follow axis. For coffee break, follow diagonal line.","Please describe how to determine what event(s) start at 12pm?"
"P189K","121","winter22","asynch",16,"you follow the diagonal line (towards the left) that starts at 12pm, and note all the bots and the letters in the line, which is where the shift will start. ","Please describe how to determine what event(s) start at 12pm?"
"JDHT2","111","winter22","asynch",16,"looking at the Y-axis of the graph, it tells us information about when the worker came in and how long they stayed, the x-axis tells us when the worker left and when the break time is based on calculating the duration. ","Please describe how to determine what event(s) start at 12pm?"
"H0HHM","121","winter22","asynch",16,"you find 12pm on the x-axis, & then follow the diagonal line going up & towards the right, which would lead you to M & L.","Please describe how to determine what event(s) start at 12pm?"
"S4T2X","121","winter22","asynch",16,"find 12pm on the bottom axis and see which start","Please describe how to determine what event(s) start at 12pm?"
"WOJNW","121","winter22","asynch",16,"I go to the 12pm point on the x-axis and follow the line that diagonally goes up to the right.","Please describe how to determine what event(s) start at 12pm?"
"19SNU","111","winter22","asynch",16,"identify 12pm on the x-axis and see what points are plotted with 12 as their x-coordinate","Please describe how to determine what event(s) start at 12pm?"
"76UV0","111","winter22","asynch",16,"check the x-axis for 12 pm and look at points that fall the positive line from 12 pm","Please describe how to determine what event(s) start at 12pm?"
"86P6B","111","winter22","asynch",16,"Look for the letters that are touched by the diagonal line going to the right starting at the x-axis on value 12PM ","Please describe how to determine what event(s) start at 12pm?"
"5QAJA","121","winter22","asynch",16,"To see which events start at 12pm you need to see go to the point on the x axis corresponding to 12 pm. Then simply follow the diagonal to the right to see if any dots are on that line. If they are, then those shifts start at 12pm.","Please describe how to determine what event(s) start at 12pm?"
"94FR9","111","winter22","asynch",16,"go to 12PM on the x-axis and follow the diagonal line going up and to the right","Please describe how to determine what event(s) start at 12pm?"
"M3E87","121","winter22","asynch",16,"Find 12pm on the x axis (start and end time), the points at that marker on the x axis (F and B) are the shifts that start at 12 pm","Please describe how to determine what event(s) start at 12pm?"
"91D56","111","winter22","asynch",16,"x-axis","Please describe how to determine what event(s) start at 12pm?"
"JMZMZ","121","winter22","asynch",16,"Look at which dots match up with x-axis at 12pm.","Please describe how to determine what event(s) start at 12pm?"
"WZFMC","111","winter22","asynch",16,"i am really confused but i would say I would see if they line upon with the hour 12pm ","Please describe how to determine what event(s) start at 12pm?"
"04YXZ","111","winter22","asynch",16,"SHIFT B AND F
BY FOLLOWING UP THE LINE OF 12PM 
","Please describe how to determine what event(s) start at 12pm?"
"1HLEP","121","winter22","asynch",16,"Look at the horizontal axis where 12pm is listed","Please describe how to determine what event(s) start at 12pm?"
"FPSQJ","121","winter22","asynch",16,"Starting at the x-axis on value 12PM, follow the diagonal line going to the right (positive to the right)","Please describe how to determine what event(s) start at 12pm?"
"TCS5Z","121","winter22","asynch",16,"The X axis
","Please describe how to determine what event(s) start at 12pm?"
"T8OB0","111","winter22","asynch",16,"Trace from the horizontal axis marking where it says 12pm along to diagonal line up and to the right. Any markings on this line begin at 12pm","Please describe how to determine what event(s) start at 12pm?"
"9XEMK","111","winter22","asynch",16,"To determine what events start at 12pm, I find 12pm on the bottom of the graph, and then go up vertically (to find B and F, in this case)","Please describe how to determine what event(s) start at 12pm?"
"4KH27","111","winter22","asynch",16,"look at the x-axis to find 12pm and determine which dots line up with that spot on the x-axis (regardless of y-axis position)","Please describe how to determine what event(s) start at 12pm?"
"ZMRMB","121","winter22","asynch",16,"the dots that are on 12pm are the events that start at 12pm","Please describe how to determine what event(s) start at 12pm?"
"ML0PA","121","winter22","asynch",16,"i'm locating the number 12 on the x-axis and then whatever vertical points are located with that x-axis point, then they start at the same time because the height of the points is just the duration","Please describe how to determine what event(s) start at 12pm?"
"ZDA7B","121","winter22","asynch",16,"Identify where 12pm is on the x-axis then look directly up from there. Any dots on the created vertical line start at 12pm. ","Please describe how to determine what event(s) start at 12pm?"
"YV1XZ","111","winter22","asynch",16,"when it corresponds to the 12pm line on the x axis ","Please describe how to determine what event(s) start at 12pm?"
"HF78R","121","winter22","asynch",16,"I view the linear line that starts at 12pm and every hour i move up one and to the right one. So M and L start at 12pm","Please describe how to determine what event(s) start at 12pm?"
"BDQEZ","121","winter22","asynch",16,"look at the 12 pm notch on the x axis, then follow the line going diagonally north-east and check the dots that are on the line.","Please describe how to determine what event(s) start at 12pm?"
"V9JKJ","111","winter22","asynch",16,"look for 12 pm on the x axis then look up to see if there are any points that line up with it","Please describe how to determine what event(s) start at 12pm?"
"PVRS1","121","winter22","asynch",16,"X-intercept line, Start and end time of day, find 12PM tick/marking, follow up graph and find points indicating start.... unless.... You do find a point, and determine duration by adding hours from indicated y-line... darn","Please describe how to determine what event(s) start at 12pm?"
"7OYPU","111","winter22","asynch",16,"find 12 pm look at the diagonal right line originating from it ","Please describe how to determine what event(s) start at 12pm?"
